id,title,is_paid,num_subscribers,avg_rating,num_reviews,num_published_lectures,num_published_practice_tests,created,discount_price_amount,price_detail_amount,published_time_year,published_time_month,category
1614344,How a Building is Designed and Built - Part 4 of 6,True,992,4.65,81,6,0,2018-03,0.0,6400.0,2018,3,[]
3237889,C# 8.0 - OOP - Ultimate Guide - Beginner to Advanced,True,206,4.65,30,178,0,2020-06,455.0,1280.0,2020,7,['c#']
2248180,The Change Management Curve for Employee Engagement,True,26,4.25,4,7,0,2019-03,455.0,3840.0,2019,3,[]
2615108,Palo Alto Networks PCCSA: 2 Full Practice Exams 2020,True,50,2.7,20,0,2,2019-10,455.0,1600.0,2019,10,[]
2450440,Rust Projects,True,354,3.6,35,32,0,2019-07,455.0,8000.0,2019,7,['rust']
2348314,6 Steps To Proofreading Jumpstart,True,179,4.5,51,25,0,2019-05,1280.0,5120.0,2019,5,[]
3075256,Define and Sequence Activities (PMI - PMP),True,5693,4.58333,23,31,0,2020-05,455.0,1600.0,2020,5,[]
1388706,Binary Options Trading Ninja: The Bandit Strategy,True,12055,4.0,132,19,1,2017-10,455.0,1280.0,2017,10,[]
2755934,Golang gRPC API - Beginner to Expert (Now With VueJS!),True,96,2.85,13,50,0,2020-01,455.0,3200.0,2020,1,['api']
1178910,Psychological Selling,True,110,4.0,35,6,0,2017-04,455.0,5440.0,2017,5,[]
1193056,Trader sur le Forex avec Ichimoku,True,1365,4.5,338,19,0,2017-04,455.0,5760.0,2017,5,[]
1571834,How to Start a Business - Business Entity Selection,True,7692,4.375,24,40,0,2018-02,455.0,1600.0,2018,3,[]
570416,JSON Faster Sleeker & Easier Discover the benefits learn it,True,8889,4.25,86,32,0,2015-07,455.0,8640.0,2015,8,['json']
1723876,Learn forex and be a boss,True,0,0.0,0,11,0,2018-05,455.0,3520.0,2018,7,[]
1792990,Forex na Real - Para Iniciantes - Fundamental,True,44,3.85,10,6,0,2018-07,455.0,8640.0,2018,8,[]
3196322,Oracle Primavera P6 - Project Management,True,205,4.625,28,8,0,2020-06,455.0,8000.0,2020,6,[]
1067194,"Jumpstart to Docker, from zero to hero",True,9752,2.8,105,13,0,2017-01,468.0,1280.0,2017,3,[]
2142164,810-440 DTBAA - Adopting The Cisco Business Architecture,True,74,3.9,13,0,6,2019-01,455.0,3200.0,2019,1,['cisco']
476792,How To Write Bulletproof Multi-Threaded C# Code,True,6689,4.32143,775,28,0,2015-04,455.0,7680.0,2015,5,['c#']
1802776,AWS Certification Training BOOTCAMP + AWS Practice Exam 2019,True,5430,4.4,137,26,0,2018-07,455.0,8640.0,2018,8,[]
2532746,Learning the FOSS4g Stack: Spatial SQL with Postgres/PosGIS,True,157,4.6,30,25,0,2019-08,455.0,1600.0,2019,9,['sql']
3015086,CompTIA CAS-002 Advanced Security Practitioner Practice Exam,True,1015,4.0,2,0,5,2020-04,455.0,8640.0,2020,4,[]
782224,Learn Enterprise WPF with XAML from Scratch,True,6461,4.0,1211,128,0,2016-03,455.0,3200.0,2016,4,[]
1596292,Manual Software Test Execution and Defect Management,True,521,4.0,11,7,0,2018-03,0.0,1920.0,2018,3,[]
1976202,IT for beginners | IT for dummies | IT for non-IT,True,628,4.1194,223,32,0,2018-10,455.0,6400.0,2019,2,[]
2513790,Agile Scrum Training: Scrum Master+Agile Project Management,True,4479,4.4187199999999995,632,37,1,2019-08,481.0,8960.0,2019,11,['agile']
2942502,Fortigate NSE 4 Preparation - Infrastructure,True,47,3.0625,8,50,0,2020-04,455.0,1280.0,2020,4,[]
2469478,"Internet of Things IOT, Robotics and Hacking with NodeMCU",True,20609,4.16406,168,52,0,2019-07,455.0,3200.0,2019,9,['robotics']
3009246,The A-Z™ FINANCIAL Bootcamp 2020 (A-Z >Financials+TallyERP9),True,9,0.0,0,102,0,2020-04,455.0,8640.0,2020,6,[]
2746570,OPTIONS SWING TRAD(LONG CALL/PUT-BULL CALL/PUT-BEAR PUT/CALL,True,37,4.75,6,15,0,2020-01,455.0,1280.0,2020,1,[]
783694,Learn By Example: Statistics and Data Science in R,True,4830,3.8,372,82,0,2016-03,455.0,6400.0,2016,4,"['statistics', 'r']"
2327024,"React in 1 Hour: Learn the Fundamentals, Fast",True,2878,4.15,59,28,0,2019-04,455.0,1280.0,2019,6,['react']
2507178,Vagrant Fundamentals for Achieving DevOps Success,True,871,4.15,18,21,0,2019-08,468.0,1600.0,2019,8,['devops']
1259094,Mastering ARKit for iOS,True,4998,4.0,736,155,0,2017-06,455.0,1280.0,2017,6,[]
1263468,REST APIs using Spring Data REST,True,4785,4.451219999999998,749,101,1,2017-06,455.0,1920.0,2017,8,[]
2824437,IFRS 9 - Financial Instruments,True,42,3.6,10,12,0,2020-02,0.0,1280.0,2020,2,[]
3463182,Cyber Security in a Practical Way,True,28,4.66667,6,131,0,2020-08,455.0,6400.0,2020,9,[]
1522568,Deep Learning Regression with R,True,150,3.45,12,33,0,2018-01,455.0,1600.0,2018,1,['r']
359504,Encoding for Multiple Screen Delivery,True,280,4.3,69,18,0,2014-11,455.0,3200.0,2014,12,[]
2939208,Businesses and Processes Transformation (Lean Six Sigma),True,107,3.85,14,50,0,2020-03,455.0,1280.0,2020,4,[]
1113518,Learning Path: Master Google’s Go,True,110,3.35,12,54,0,2017-02,455.0,8640.0,2017,2,['go']
766978,Automating Data Exploration with R,True,1328,4.45,173,21,0,2016-02,455.0,1600.0,2016,4,['r']
3009456,CAMS CH#1 RISK & METHODS OF MONEY LAUNDERING 100 MCQs,True,81,3.65,12,0,2,2020-04,455.0,1280.0,2020,4,[]
2367072,Machine Learning Practical Workout | 8 Real-World Projects,True,6942,4.50338,653,90,0,2019-05,481.0,8960.0,2019,6,[]
2898712,Agility Foundations,True,1929,4.35294,53,23,0,2020-03,455.0,1920.0,2020,3,[]
1058530,"How to Get Growing, Passive Income from the Fortune 500!",True,22,4.5,3,12,0,2017-01,455.0,1600.0,2017,1,[]
2440238,SAS Certified Statistical Business Analyst practice exams,True,86,1.95,17,0,3,2019-07,455.0,2240.0,2019,7,['sas']
1460278,Awesome Reporting Tools in Selenium and Appium,True,279,4.5,18,57,0,2017-12,455.0,2560.0,2018,1,[]
885342,Financial Modeling 101,True,2028,3.7,120,5,0,2016-06,455.0,1280.0,2016,12,[]
306024,TCP/IP Socket Programming in C# .Net For Coders & Students,True,9083,4.35417,905,73,0,2014-09,455.0,1920.0,2014,11,"['c#', '.net']"
2505038,Just Give me the Codes: Entry Level R Studio,True,64,4.27778,9,10,0,2019-08,455.0,2880.0,2019,9,['r']
1573030,Burp-suite: A Master of bug bounty hunter,True,1158,3.86364,97,33,0,2018-02,455.0,8640.0,2018,3,[]
1891056,Create a Character Profile Template in Scrivener 3,True,55,4.58333,6,11,0,2018-09,455.0,6400.0,2018,10,[]
1482406,Lazy Trading Part 4: Automated Statistical Trading Control,True,241,4.4,14,36,0,2017-12,455.0,8640.0,2018,2,[]
1429502,The Complete Online Teaching Masterclass: 5 Courses in 1,True,4034,4.0,87,49,0,2017-11,455.0,8640.0,2017,11,[]
139208,Building a WordPress Theme from Scratch,True,213,3.7,14,30,0,2013-12,455.0,1280.0,2013,12,['wordpress']
912946,Professional Rails Code Along,True,3277,4.63636,554,120,0,2016-07,455.0,2560.0,2016,8,[]
3122558,sap ale idoc for abap and functional consultant,True,172,4.1,5,25,0,2020-05,494.0,4800.0,2020,5,"['sap', 'abap']"
1030776,Java Basics: The Complete Guide,True,102,3.95,13,16,0,2016-12,455.0,1280.0,2017,2,['java']
1810894,SAP simulator SD-02 - Intermediate Structure Configuration,True,10,3.66667,3,11,0,2018-07,455.0,3840.0,2018,7,['sap']
664114,Test and improve your Java skills,True,8228,4.5,168,65,0,2015-11,455.0,2240.0,2015,12,['java']
3170970,The Complete Investment Banking Recruiting Course,True,132,4.56522,37,27,0,2020-05,455.0,3840.0,2020,6,[]
1971638,Pet Business Certificate (UK),True,30,4.65,10,9,0,2018-10,455.0,1280.0,2018,10,[]
2945044,AWS Security and Governance Administration for Professionals,True,12634,4.0,76,37,0,2020-04,455.0,8640.0,2020,4,[]
2297768,Unisoc (Spreadtrum) Android Software Repairs,True,23,3.33333,6,50,0,2019-03,0.0,1600.0,2019,4,[]
3314844,Departmental Accounts Complete Course for Beginners,True,1,0.0,0,11,0,2020-07,455.0,1280.0,2020,7,[]
